Authors,Article Name,Publication,Year,Definition Page(s),Definition,,
"Adolf, Marian T.; Stehr, Nico","Information, Knowledge, and the Return of Social Physics",ADMINISTRATION & SOCIETY,2018,1245,"What seems to have resuscitated the old idea of unmasking social reality in its totality by computing the sum of all its parts is the unprecedented availability of digital data on ever wider areas of social and natural life. Real-time monitoring through ubiquitous sensors and the outfitting of everyday appliances with information technology turns social spaces into places of ubiquitous surveillance. As more and more everyday activities are moved into the Internet, as web-based services are used to assist with our daily chores and professional activities, an ever bigger data trail is accumulated. Every telephone call, every online-order, every Google map-query is being logged. The use of Social Network Sites (SNS), of rebate and credit cards, to name just a few, produce activity-based “guest-ids” that hold a great deal of information. Just like meta-data of telephone calls and server log-ins might ultimately reveal more crucial information about an individual than the actual communications they result from, logging our interactions within contemporary media (or information) ecology tells a great deal about what people do. 

This phenomenon, presently discussed under the heading of Big Data, also in the public administration and governance literature (see, for example, Mergel, Rethemeyer, & Isett, 2016), is a token for the increasing informationalization of contemporary social life.",,
"Agostino, Deborah; Arnaboldi, Michela",Social media data used in the measurement of public services effectiveness: Empirical evidence from Twitter in higher education institutions,PUBLIC POLICY AND ADMINISTRATION,2017,297,"The key features of big data are high volumes of data, the high speed with which data are generated and the great variety of data formats, including, alongside traditional excel spreadsheets, data from sensors, mobile phones and social media (Gandomi and Haider, 2015; McAfee and Brynjolfsson, 2012).",,
"Blume, Grant; Scott, Tyler; Pirog, Maureen",Empirical Innovations in Policy Analysis,POLICY STUDIES JOURNAL,2014,S43,"The term “Big Data” represents multidimensional information, often on a massive scale, that is difficult to process or analyze using conventional empirical and statistical tools (Eaton, Deutsch, Deroos, Lapis, & Zikopoloulos, 2012).",,
"Campbell-Verduyn, Malcolm; Goguen, Marcel; Porter, Tony",Big Data and algorithmic governance: the case of financial practices,NEW POLITICAL ECONOMY,2017,220,"Varying definitions of Big Data mostly overlap in a stress on the ‘3Vs’ of volume, variety and velocity. Consisting of ‘ high-volume, high-velocity and high-variety information assets’ (Gartner 2013) beyond the processing capacity of human intelligence (Raley 2013: 132), Big Data yield correlations and patterns through statistical calculations of computer-coded algorithms (Kitchin 2014: 140). Algorithms are automated routines that mobilise information in patterned manners to achieve particular ends (Gillespie 2014). Both Big Data and algorithms involve expansions of information technologies that, while not entirely new, are widely seen as transformational, particularly in the degrees to which they enhance the monitoring of vast domains of human activity.",,
"Chandler, David",A World without Causation: Big Data and the Coming of Age of Posthumanism,MILLENNIUM-JOURNAL OF INTERNATIONAL STUDIES,2015,835-836,"While there is no fixed definition of Big Data, analysts often mention the 3 ‘Vs’ which characterise it: volume, velocity and variety. Big Data includes information from a multitude of sources, including social media, smart phones and mapping, visualising and recording equipment7 and the number of data-sharing devices is growing exponentially. This hardware, collectively known as the ‘Internet of Things’, includes machine sensors and consumer-oriented devices such as connected thermostats, light bulbs, refrigerators, and wearable health monitors.8 Data is thus being produced and used in increasingly diverse and innovative ways. The term ‘Big Data’ is capitalised to distinguish it (as a set of ideas and practices discursively cohered around a certain approach to knowledge production) from its use as a merely descriptive term for a large amount of data. Big Data thus is not used with reference to discussions about the volume of data per se; however, many authors argue that volume is relevant in terms of an analytical ‘tipping point’ or ‘data threshold’ where data gathering is no longer based upon selection and sampling with limited parameters but aspires to be exhaustive or becomes a closed data set, no longer requiring generative rules.9

Thus Big Data discursively refers to a qualitative shift in the meaning of data, in not just the amount of data (approaching exhaustiveness) but also its quality (approaching a dynamic, fine-grained relational richness). This data is very far from the abstract and reductionist constructions of data of the past:10 but is increasingly understood as approaching ‘reality’ itself. Thus, Big Data transforms our everyday reality and our immediate relation to the things around us. This ‘datafication’ of everyday life is at the heart of Big Data: a way of accessing reality through bringing interactions and relationships to the surface and making them visible, readable and thereby governable, rather than seeking to understand hidden laws of causality.11 Big Data is thereby generally understood to generate a different type of ‘knowledge’: more akin to the translation or interpretation of signs rather than that of understanding chains of causation.12",,
"Clark, William Roberts; Golder, Matt","Big Data, Causal Inference, and Formal Theory: Contradictory Trends in Political Science?",PS-POLITICAL SCIENCE & POLITICS,2015,66,"For us, “big data” refers to the idea that tech innovations such as machine learning have allowed scholars to gather either new types of data, such as social media data, or vast quantities of traditional data with less expense.",,
"Clarke, Amanda; Craft, Jonathan",The vestiges and vanguards of policy design in a digital context,CANADIAN PUBLIC ADMINISTRATION-ADMINISTRATION PUBLIQUE DU CANADA,2017,478,"big data—large-scale, unmediated and unstructured data",,
"Cukier, Kenneth; Mayer-Schoenberger, Viktor",The Rise of Big Data How It's Changing the Way We Think About the World,FOREIGN AFFAIRS,2013,29,"Given this massive scale, it is tempting to understand big data solely in terms of size. But that would be misleading. Big data is also characterized by the ability to render into data many aspects of the world that have never been quantified before; call it ""datafication."" For example, location has been datafied, first with the invention of longitude and latitude, and more recently with gps satellite systems. Words are treated as data when computers mine centuries' worth of books. Even friendships and ""likes"" are datafied, via Facebook.

This kind of data is being put to incredible new uses with the assistance of inexpensive computer memory, powerful processors, smart algorithms, clever software, and math that borrows from basic statistics. Instead of trying to ""teach"" a computer how to do things, such as drive a car or translate between languages, which artificial-intelligence experts have tried unsuccessfully to do for decades, the new approach is to feed enough data into a computer so that it can infer the probability that, say, a traffic light is green and not red or that, in a certain context, lumière is a more appropriate substitute for ""light"" than léger.

Using great volumes of information in this way requires three profound changes in how we approach data. The first is to collect and use a lot of data rather than settle for small amounts or samples, as statisticians have done for well over a century. The second is to shed our preference for highly curated and pristine data and instead accept messiness: in an increasing number of situations, a bit of inaccuracy can be tolerated, because the benefits of using vastly more data of variable quality outweigh the costs of using smaller amounts of very exact data. Third, in many instances, we will need to give up our quest to discover the cause of things, in return for accepting correlations. With big data, instead of trying to understand precisely why an engine breaks down or why a drug's side effect disappears, researchers can instead collect and analyze massive quantities of information about such events and everything that is associated with them, looking for patterns that might help predict future occurrences. Big data helps answer what, not why, and often that's good enough.",,
"Desouza, Kevin C.; Jacob, Benoy",Big Data in the Public Sector: Lessons for Practitioners and Scholars,ADMINISTRATION & SOCIETY,2017,1045-1047,"As a relatively new phenomenon, much of the literature on Big Data focuses on defining the “bounds” of Big Data. That is, what is Big Data and what does it mean to operate in a Big Data environment. Despite the ubiquity of the term, Big Data is a difficult term to define (Franks, 2012; Laney, 2001; Manyika et al., 2011). There is, however, some consensus among scholars and practitioners that four factors characterize Big Data—volume, velocity, variety, and complexity.5 More than just simple semantics, these characteristics have potentially important implications for management practices.

Big Data is just too big for us. Where . . . big data begin[s] and end[s] is not known. I have been struggling to identify digestible bites for us to take to move on big data . . . .

First, at its core, Big Data must clearly be “big.” Big Data datasets are “beyond the ability of typical database software tools to capture, store, manage and analyze” (Franks, 2012, p. 4).6 Thus, Big Data, in terms of volume, is a function of the underlying and pre-existing capacity of an organization to collect, store, and analyze its data. This definition suggests that Big Data is, in terms of volume, a moving target. For example, household demographics that were once difficult to manage now “fit on a thumb drive and can be analyzed by a low-end laptop” (Franks, 2012, p. 24).

The second defining characteristic of Big Data is its velocity. This refers to the speed at which data are being created and stored, and their associated rates of retrieval (Kaisler, Armour, Espinosa, & Money, 2013). Much like the volume of data, however, there is no established benchmark by which to consider when data velocity meets a Big Data threshold. Rather, the salient issue is that the data are being created at historically fast rates. An example of the current velocity of data is provided by Mayer-Schonberger and Cukier (2013):

Google processes more than 24 petabytes of data per day, a volume that is thousands of times the quantity of all printed material in the U.S. Library of Congress. Facebook, a company that didn’t exist a decade ago, gets more than 10 million new photos uploaded every hour. Facebook members click a “like” button or leave a comment nearly three billion times a day, creating a digital trail that the company can mine to learn about users’ preferences. Meanwhile, the 800 million monthly users of Google’s YouTube service upload over an hour of video every second. The number of messages on Twitter grows at around 200 percent a year and by 2012 exceeded 400 million tweets a day. (p. 8)

A third defining characteristic of Big Data is its variety. Big Data is comprised of data in a wide range of forms, including text, images, and videos. Generally speaking, then, it will include data that are structured, semi-structured, or unstructured. Structured data refer to data that have an organized structure and are, thus, clearly identifiable. A simple example would be a database with specific information that is stored in columns and rows. Semi-structured data do not conform to a formal structure per se; however, it contains “tags” that help separate the data records or fields. For example, data in many bibliographical software programs reflect semi-structured data. That is, the file is composed of records, but the structure is not regular in the sense that fields may be missing or be comprised of more “open” formats, such as a “Notes” section. Finally, unstructured data, as its name implies, have no identifiable structure. Examples of unstructured data, then, include the following: text messages, photos, videos, and audio files.

As datasets become increasingly “complex”—from structured to unstructured—the processing and analytical capabilities required to collect, manage, and analyze the data increases significantly. Thus, a better understanding of the defining characteristics of an organizations real, or potential, data repositories offers insights into the level and types of investments needed.

The final defining characteristic of Big Data is its complexity—the degree to which the data are interconnected. Many of the novel applications and/or insights that have emerged from Big Data applications are a result of connecting otherwise unrelated datasets. One oft-cited example is the joint effort between Google and the Center for Disease Control (CDC). In this case, Google was able to connect their database of “search terms”—entered in their search engine—such as “cold medicine” and “flu symptoms,” with the CDC’s data on the H1N1 virus. In doing so, analysts were able to predict the spread of the H1N1 virus by “connecting” two previously disconnected datasets.",,
"Durrant, Hannah; Barnett, Julie; Rempel, Emily Suzanne",Realising the Benefits of Integrated Data for Local Policymaking: Rhetoric versus Reality,POLITICS AND GOVERNANCE,2018,19,"Conventional attempts to define big data have tended to focus primarily on its characteristics; initially emphasising its volume, variety, and velocity (see Kitchin & McArdle, 2016). A more recent proliferation of characteristics identified with big data (e.g., Uprichard, 2013) has rendered the term more, rather than less, opaque (Kitchin & McArdle, 2016). In an attempt to isolate the most salient qualities of big data, Kitchin (2014b) stresses the distinction between small data sources—based on a population sample, infrequently collected and processed slowly and periodically—and big data that is both exhaustive (n = all) and generated and reported in close to real time. For Kitchin and McArdle (2016) the two most important characteristics of big data sources are exhaustivity and velocity.",,
