Author(s),Title,Source Title,Publication Year,Volume,Issue,Beginning Page,Ending Page,Number of Pages,DATABASE,DOI,"""Big Data"" in Title","""Big Data"" in Abstract","""Big Data"" in Keywords","""Big Data"" in Article Text","""Big Data"" in References",No Abstract,No Keywords,No References
"Adolf, Marian T.; Stehr, Nico","Information, Knowledge, and the Return of Social Physics",ADMINISTRATION & SOCIETY,2018,50,9,1238,1258,20,SSCI - PA,10.1177/0095399718760585,0,1,1,1,1,0,0,0
"Agarwal, P. K.",Public Administration Challenges in the World of AI and Bots,PUBLIC ADMINISTRATION REVIEW,2018,78,6,917,921,4,SSCI - PA,10.1111/puar.12979,0,1,0,0,0,0,1,0
"Agostino, Deborah; Arnaboldi, Michela",Social media data used in the measurement of public services effectiveness: Empirical evidence from Twitter in higher education institutions,PUBLIC POLICY AND ADMINISTRATION,2017,32,4,296,322,26,SSCI - PA,10.1177/0952076716682369,0,0,0,1,1,0,0,0
"Ansolabehere, Stephen; Hersh, Eitan",Validation: What Big Data Reveal About Survey Misreporting and the Real Electorate,POLITICAL ANALYSIS,2012,20,4,437,459,22,SSCI - PS,10.1093/pan/mps023,1,0,0,1,1,0,0,0
"Bachner, Jennifer; Hill, Kathy Wagner",Advances in Public Opinion and Policy Attitudes Research,POLICY STUDIES JOURNAL,2014,42,,51,70,19,"SSCI - PS,SSCI - PA",10.1111/psj.12052,0,0,1,1,0,0,0,0
"Beckman, Arthur",Political Marketing and Intellectual Autonomy,JOURNAL OF POLITICAL PHILOSOPHY,2018,26,1,24,46,22,SSCI - PS,10.1111/jopp.12126,0,1,1,1,1,0,0,0
"Belfry Munroe, Kaija; Munroe, H. D.",Constituency Campaigning in the Age of Data,CANADIAN JOURNAL OF POLITICAL SCIENCE-REVUE CANADIENNE DE SCIENCE POLITIQUE,2018,51,1,135,154,19,SSCI - PS,10.1017/S0008423917001135,0,1,0,1,1,0,0,0
"Bittner, Christian",OpenStreetMap in Israel and Palestine - 'Game changer' or reproducer of contested cartographies?,POLITICAL GEOGRAPHY,2017,57,,34,48,14,SSCI - PS,10.1016/j.polgeo.2016.11.010,0,0,0,0,1,0,0,0
"Blume, Grant; Scott, Tyler; Pirog, Maureen",Empirical Innovations in Policy Analysis,POLICY STUDIES JOURNAL,2014,42,,33,50,17,"SSCI - PS,SSCI - PA",10.1111/psj.12050,0,1,1,1,1,0,0,0
"Bonelli, Laurent; Ragazzi, Francesco","Low-tech security: Files, notes, and memos as technologies of anticipation",SECURITY DIALOGUE,2014,45,5,476,493,17,SSCI - IR,10.1177/0967010614545200,0,1,0,1,0,0,0,0
"Burscher, Bjorn; Vliegenthart, Rens; de Vreese, Claes H.",Using Supervised Machine Learning to Code Policy Issues: Can Classifiers Generalize across Contexts?,ANNALS OF THE AMERICAN ACADEMY OF POLITICAL AND SOCIAL SCIENCE,2015,659,1,122,131,0,SSCI - PS,10.1177/0002716215569441,0,0,1,0,0,0,0,0
"Campbell-Verduyn, Malcolm; Goguen, Marcel; Porter, Tony",Big Data and algorithmic governance: the case of financial practices,NEW POLITICAL ECONOMY,2017,22,2,219,236,17,"SSCI - PS,SSCI - IR",10.1080/13563467.2016.1216533,1,1,1,1,1,0,0,0
"Ceron, Andrea; Curini, Luigi",e-Campaigning in the 2014 European elections: The emphasis on valence issues in a two-dimensional multiparty system,PARTY POLITICS,2018,24,2,105,117,12,SSCI - PS,10.1177/1354068816642807,0,0,0,0,1,0,0,0
"Ceron, Andrea; Negri, Fedra",The Social Side of Public Policy: Monitoring Online Public Opinion and Its Mobilization During the Policy Cycle,POLICY AND INTERNET,2016,8,2,131,147,16,SSCI - PS,10.1002/poi3.117,0,1,0,1,1,0,0,0
"Chandler, David","How the World Learned to Stop Worrying and Love Failure: Big Data, Resilience and Emergent Causality",MILLENNIUM-JOURNAL OF INTERNATIONAL STUDIES,2016,44,3,391,410,19,SSCI - IR,10.1177/0305829816636673,1,0,1,1,1,0,0,0
"Chandler, David",A World without Causation: Big Data and the Coming of Age of Posthumanism,MILLENNIUM-JOURNAL OF INTERNATIONAL STUDIES,2015,43,3,833,851,18,SSCI - IR,10.1177/0305829815576817,1,1,1,1,1,0,0,0
